job_id,job_title,company,location,salary_min,salary_max,description,country,search_keyword,experience_required,degree_required,skills,num_skills,job_level,is_remote,salary_avg,has_salary
5710345523,Data Scientist,Empnã©O Ict,India,0.0,0.0,"Job description Lead Data Scientist â€” Analytics & Automation Lead / Principal | Education / EdTech | 8 years About the Role We are looking for a seasoned Lead Data Scientist to own the design and delivery of scalable data science solutions across our EdTech platform. You will drive analytical strategy, build robust ML pipelines, and champion automation to enable data-led decision making at scale. This role sits at the intersection of rigorous science and engineering discipline. Key Responsibiliâ€¦",India,data scientist,,Not Specified,[],1,Mid,0,0.0,False
5676535670,Data Scientist,Adm,"Bangalore, Karnataka",0.0,0.0,"Data Scientist Bengaluru, India Position Summary: The Data Scientist will lead the development of data-driven solutions by leveraging traditional data science techniques and recent advancements in Generative AI to bring value to ADM. The role is integral to the Digital & Innovation team, driving rapid prototyping efforts, collaborating with cross-functional teams, and developing innovative approaches to solve business problems. This position requires a blend of expertise in traditional machine â€¦",India,data scientist,not specified,Not Specified,[],1,Mid,0,0.0,False
5705677339,Data Scientist,V4C.Ai,India,0.0,0.0,"Overview: The Data Scientist supports the development and implementation of data models, focusing on Machine Learning, under the supervision of more experienced scientists, contributing to the teamâ€™s innovative projects. Job Description: Assist in the development of Machine Learning models and algorithms, contributing to the design and implementation of data-driven solutions. Perform data preprocessing, cleaning, and analysis, preparing datasets for modeling and supporting higher-level data sciâ€¦",India,data scientist,not specified,Not Specified,['machine learning'],1,Mid,0,0.0,False
5689758521,Data Scientist,Kotak Mahindra Bank,"Bangalore, Karnataka",0.0,0.0,"Hiring for Data Scientist Role Work location: Bangalore Exp Range: 4 to 10 Yrs Only Notice Period: Up to 45 Days The Data Scientist role within the team involves deploying projects from conception to actionable insights, developing credit risk scorecards, building behavioral models and impact in the banking business. This role focuses on leveraging data science techniques for model development, driving automation, process improvement, and operational efficiency while demonstrating innovative thâ€¦",India,data scientist,,Not Specified,[],1,Mid,0,0.0,False
5709942304,Data Scientist,Whitefield Careers,"Bangalore, Karnataka",0.0,0.0,"Data Scientist Location: Bangalore Experience: 3 â€“ 4 Years Employment Type: Full-time Role Overview We are looking for a skilled Data Scientist with strong expertise in machine learning, statistical analysis, and data modeling . The ideal candidate will work with large datasets to build predictive models, uncover insights, and develop AI-driven solutions that support data-driven business decisions. This role involves working closely with data engineers, software developers, and business stakehoâ€¦",India,data scientist,,Not Specified,['machine learning'],1,Mid,0,0.0,False
5694092160,Data Scientist,Ajnalens,"Thane, Maharashtra",0.0,0.0,"Namaskaram! AjnaLens is looking for a Data Scientist to join our Product Engineering team at Thane (Maharashtra â€“ India) . The ideal candidate should have strong engineering foundations and hands-on experience in building predictive models, statistical analyses, and production-ready data science solutions . This role goes beyond traditional data science, requiring close collaboration with engineering teams, robust software development practices, and the ability to translate complex data into acâ€¦",India,data scientist,not specified,Not Specified,[],1,Mid,0,0.0,False
5683837241,Data Scientist,Uptimeai Inc.,"Bangalore, Karnataka",0.0,0.0,"About UptimeAI: UptimeAI is leading the way in predictive analytics and AI-driven solutions to optimize operational uptime and reduce downtime for industrial and enterprise clients. Our innovative platform harnesses cutting-edge data science to deliver actionable insights, ensuring maximum efficiency and reliability. UptimeAI uniquely combines Artificial Intelligence with Subject Matter Knowledge from 200 years of cumulative experience to explain interrelations across upstream/downstream equipmâ€¦",India,data scientist,,Not Specified,[],1,Mid,0,0.0,False
5694091986,Data Scientist,Tp,India,0.0,0.0,"Job Role: Jr/Sr Data Scientist WFH- Permanent Educational Background Bachelorâ€™s or Masterâ€™s degree in Data Science, Computer Science, Statistics, Applied Mathematics, or related field. PhD is a plus. Experience 3 years of experience in applied data science, analytics, or AI research. Proven experience building and deploying ML models in production. Exposure to AI-driven products, NLP, or generative AI pipelines preferred. Technical Skills Strong proficiency in Python and ML libraries ( Scikit-lâ€¦",India,data scientist,,Phd,['python'],1,Mid,0,0.0,False
5710339532,Data Scientist,Tata Consultancy Services,"Bangalore, Karnataka",0.0,0.0,"Role- Data scientist Year of Experience- 10 to 18 years Location-Pan India Required Skill set- Python, PySpark, ML-Ops, NLP, AWS/ GCP/ Azure Data Scientist: 10 yrs of industry experience on customer projects involving model development and deployment Provide AI/ML solution to business problems in BFSI domain and work with relevant stakeholders to provide actionable insights and data science solutions Hands-on model selection, training and tuning Data processing, feature engineering, feature selâ€¦",India,data scientist,,Not Specified,"['python', 'aws', 'spark']",3,Mid,0,0.0,False
5707162037,Data Scientist,Thales,"Noida, Ghaziabad",0.0,0.0,"About the Company We are looking for a skilled Data Scientist / AI Engineer with strong experience in Data Science, AI, and Generative AI on Databricks. The ideal candidate should have hands-on expertise in building regression, classification, and segmentation models and working with large-scale data using Python, PySpark, and SQL on GCP cloud environment. This role focuses on developing scalable AI solutions, building intelligent data products, and delivering business insights through advancedâ€¦",India,data scientist,not specified,Not Specified,"['python', 'sql', 'spark']",3,Mid,0,0.0,False
